workload_kind,profile,comparison,throughput_ratio,dynamic_priority_throughput,baseline_throughput,note
tpcc,medium,tx-dynamic-priority_vs_tx-static,1.0119180497207307,22.702947071580557,22.43555896433127,
tpcc,medium,tx-dynamic-priority_vs_tx-static-priority,1.0792884463276424,22.702947071580557,21.035106183920515,
tpcc,high,op-dynamic-priority_vs_mvcc-full,,17.319698848848006,0.0,
tpcc,high,op-dynamic-priority_vs_occ,,17.319698848848006,0.0,
tpcc,high,op-dynamic-priority_vs_op-dynamic,1.0129293345249097,17.319698848848006,17.098625006226516,
tpcc,high,op-dynamic-priority_vs_op-static,1.0931933288874067,17.319698848848006,15.843216740514748,
tpcc,high,op-dynamic-priority_vs_op-static-priority,1.0545273551141299,17.319698848848006,16.424134248251455,
tpcc,high,op-dynamic-priority_vs_tictoc-full,,17.319698848848006,0.0,
tpcc,high,tx-dynamic-priority_vs_mvcc-full,,18.62612377411654,0.0,
tpcc,high,tx-dynamic-priority_vs_occ,,18.62612377411654,0.0,
tpcc,high,tx-dynamic-priority_vs_op-dynamic-priority,1.0754300023730163,18.62612377411654,17.319698848848006,
tpcc,high,tx-dynamic-priority_vs_tictoc-full,,18.62612377411654,0.0,
tpcc,high,tx-dynamic-priority_vs_tx-dynamic,1.0658502243691137,18.62612377411654,17.475366940173522,
tpcc,high,tx-dynamic-priority_vs_tx-static,1.1273269789964386,18.62612377411654,16.52237915098755,
tpcc,high,tx-dynamic-priority_vs_tx-static-priority,1.2455382239929143,18.62612377411654,14.95427712720481,
