agent_latency_p95_s,agent_latency_p99_s,attempts_per_task,commit_rate,commit_rate_stddev,committed_throughput,conflict_aborts,mechanism,prelock_wait_per_task_s,priority_enabled,profile,scope,strategy,throughput_stddev,variant,workload_kind,source_dir
1.3994585804999815,1.4974147174000383,1.0,1.0,0.0,33.90518474555635,0,dynamic,5.47058366642735e-05,True,medium,tx,transaction-atcc-strict,5.185731062582562,tx-dynamic-priority,ycsb,atcc_ablation_threshold32_formal_ycsb_medium_tx_20260701_15
7.926329288150016,8.727049536670025,7.323333333333333,0.18333333333333332,0.08975274678557507,1.2710617566779252,2142,baseline,0.0,False,high,baseline,occ,0.6952735939370961,baseline:occ,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
2.5435930888000597,2.942948131029948,2.3566666666666665,0.97,0.0217306746840088,19.545361060133008,416,baseline,0.0,False,high,baseline,mvcc-full,2.518296875921306,baseline:mvcc-full,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
2.5345564786499497,2.824502420069999,2.34,0.98,0.013944333775567915,18.987143342770107,408,baseline,0.0,False,high,baseline,tictoc-full,1.0496344363222443,baseline:tictoc-full,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
1.0423190607500317,1.2930656328799384,1.0,1.0,0.0,44.35803916366579,0,static,0.0,False,high,op,adaptive-op-strict,5.360034291661856,op-static,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
1.0798684526500892,1.1760054063099379,1.0,1.0,0.0,45.52193423613768,0,static,0.0,True,high,op,adaptive-op-strict,4.349272048065463,op-static-priority,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
1.1298357349499555,1.2737385703400776,1.0,1.0,0.0,44.556153526877,0,dynamic,0.0002012303333276577,False,high,op,adaptive-op-strict,3.484960624755406,op-dynamic,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
1.0869589888000235,1.2115767705600762,1.0,1.0,0.0,46.307931306962494,0,dynamic,8.934610667173123e-05,True,high,op,adaptive-op-strict,2.570642763762976,op-dynamic-priority,ycsb,atcc_ablation_threshold32_formal_ycsb_high_op_20260701_15
0.9936756758500224,1.0517820496699446,1.0,1.0,0.0,49.4215248244388,0,static,0.0,False,high,tx,transaction-atcc-strict,2.1913187817715962,tx-static,ycsb,atcc_ablation_threshold32_formal_ycsb_high_tx_20260701_15
1.0730607577000058,1.151052635040006,1.0,1.0,0.0,46.46845032348809,0,static,0.0,True,high,tx,transaction-atcc-strict,2.6761117832650787,tx-static-priority,ycsb,atcc_ablation_threshold32_formal_ycsb_high_tx_20260701_15
1.1002787640000804,1.2034075273500204,1.0,1.0,0.0,43.639026067625316,0,dynamic,0.00014992529333653692,False,high,tx,transaction-atcc-strict,2.627343034316901,tx-dynamic,ycsb,atcc_ablation_threshold32_formal_ycsb_high_tx_20260701_15
1.0986922205000669,1.2242672076600774,1.0,1.0,0.0,45.50742731218879,0,dynamic,0.0004511902466644339,True,high,tx,transaction-atcc-strict,3.872176970384539,tx-dynamic-priority,ycsb,atcc_ablation_threshold32_formal_ycsb_high_tx_20260701_15
9.86767760435,10.497817704439997,1.03,1.0,0.0,5.593334916827702,9,baseline,0.0,False,low,baseline,occ,0.25195902699957706,baseline:occ,tpcc,atcc_ablation_threshold32_formal_tpcc_low_baseline_occ_20260701_15
