workload,profile,best_traditional,best_traditional_tps,op_family_tps,tx_family_tps,best_family,best_family_tps,best_family_vs_best_traditional,target_ratio,target_status,op_selected_counts,tx_selected_counts,best_family_commit_rate,best_traditional_commit_rate,best_family_p95_s,best_family_p99_s,best_family_conflict_aborts,best_family_prelock_wait_per_task_s
ycsb,low,mvcc-full,39.223442856461254,38.591860741005036,33.51798567424478,op-family,38.591860741005036,0.9838978409476317,0.95,pass,"{""occ"": 300}","{""occ"": 300}",1.0,1.0,0.5687624758000039,0.6389528287300021,0,0.0
ycsb,medium,mvcc-full,38.507257733699454,40.10003761195067,39.850688529469934,op-family,40.10003761195067,1.0413631084629873,1.02,pass,"{""tictoc-full"": 300}","{""tictoc-full"": 300}",1.0,1.0,0.9121868501000125,1.0988533662500004,4,0.0
ycsb,high,tictoc-full,15.457375310367471,39.20346747100911,42.60401142756054,tx-family,42.60401142756054,2.756225463386753,1.2,pass,"{""adaptive-op-strict"": 300}","{""transaction-atcc-strict"": 300}",1.0,0.97,0.9363954244499751,1.0938322527299984,0,0.009754714849999574
tpcc,low,occ,6.095770889547968,6.648590233099838,7.820811412134013,tx-family,7.820811412134013,1.282989724161691,0.95,pass,"{""occ"": 300}","{""occ"": 300}",1.0,1.0,3.091385608199986,4.535122622379989,9,0.0
tpcc,medium,occ,11.074256818054717,8.71551994773621,16.195575822388154,tx-family,16.195575822388154,1.4624526131617235,1.02,pass,"{""adaptive-op-strict"": 300}","{""transaction-atcc-strict"": 300}",1.0,0.9033333333333333,2.7858580184000052,3.185692064050008,429,0.5330985780733324
tpcc,high,occ,0.25866532132505055,3.9230998202510348,12.902965158785873,tx-family,12.902965158785873,49.88285670722526,1.2,pass,"{""adaptive-op-strict"": 300}","{""transaction-atcc-strict"": 300}",1.0,0.04,3.931290762500001,4.470430532329991,502,1.0835997012899996
