agent_latency_p95_s,agent_latency_p99_s,attempts_per_task,commit_rate,commit_rate_stddev,committed_throughput,conflict_aborts,mechanism,prelock_wait_per_task_s,priority_enabled,profile,scope,strategy,throughput_stddev,variant,workload_kind
3.509868689649998,4.121993826260001,2.1533333333333333,0.9966666666666667,0.007453559924999322,15.90201897931068,347,dynamic,0.07483730187999996,False,high,op,adaptive-op-strict,1.6576326754481665,op-dynamic,tpcc
3.4916751797500014,3.705346074359999,2.0766666666666667,0.9866666666666667,0.013944333775567929,15.867049828245598,327,dynamic,0.08649486896666661,True,high,op,adaptive-op-strict,0.9367139370934209,op-dynamic-priority,tpcc
3.5777021688999926,3.8924376040299675,1.5966666666666667,1.0,0.0,15.622176516163417,179,static,0.14699211540666965,False,high,op,adaptive-op-strict,1.0959123913478277,op-static,tpcc
3.6401428846000274,4.12723416055998,1.5466666666666666,1.0,0.0,16.051132379444272,164,static,0.14139773542999934,True,high,op,adaptive-op-strict,1.7039910032807375,op-static-priority,tpcc
3.086692893299999,3.37275870428,1.8433333333333333,0.99,0.009128709291752798,17.525115773298683,256,dynamic,0.0954824624033333,False,high,tx,transaction-atcc-strict,1.4610386134953723,tx-dynamic,tpcc
2.83571955355,3.1333815503799984,1.79,1.0,0.0,19.08277253880062,237,dynamic,0.08575236171666673,True,high,tx,transaction-atcc-strict,1.820688350755518,tx-dynamic-priority,tpcc
3.3557041429999686,3.6902553781199994,1.9366666666666668,0.9933333333333333,0.014907119849998594,16.36023505379964,283,static,0.10238741883333356,False,high,tx,transaction-atcc-strict,1.4828783145103739,tx-static,tpcc
3.019092436899991,3.4134403942899483,1.87,1.0,0.0,17.622239992436857,261,static,0.0891706491733343,True,high,tx,transaction-atcc-strict,1.7403948117881394,tx-static-priority,tpcc
8.421658629550027,9.055106115649972,1.01,1.0,0.0,6.38737918435099,3,dynamic,0.006226911543333813,False,low,op,adaptive-op-strict,0.28517084724360936,op-dynamic,tpcc
9.407932213899937,9.901399623669962,1.0166666666666666,1.0,0.0,5.687098040123716,5,dynamic,0.0045820168200032185,True,low,op,adaptive-op-strict,0.17985688898600535,op-dynamic-priority,tpcc
11.7362778211,12.24061352175,1.0066666666666666,1.0,0.0,4.6057728554346715,2,static,0.012389269379999955,False,low,op,adaptive-op-strict,0.17608815770745387,op-static,tpcc
11.7139524817,12.222089298190001,1.01,1.0,0.0,4.573725447701391,3,static,0.010068701953333387,True,low,op,adaptive-op-strict,0.118861723835738,op-static-priority,tpcc
9.320428042650018,9.868345522949962,1.0133333333333334,1.0,0.0,5.75682067885678,4,dynamic,0.00669689569999188,False,low,tx,transaction-atcc-strict,0.09154468592997742,tx-dynamic,tpcc
9.304090987700013,9.607275317219989,1.03,1.0,0.0,5.846937316144482,9,dynamic,0.003917545483333053,True,low,tx,transaction-atcc-strict,0.04913979031857801,tx-dynamic-priority,tpcc
9.888779246249982,10.521227774529985,1.0266666666666666,1.0,0.0,5.535107490346952,8,static,1.4843900000111414e-05,False,low,tx,transaction-atcc-strict,0.2923907310261144,tx-static,tpcc
10.035759731649982,10.988933665959982,1.0166666666666666,1.0,0.0,5.395857158980808,5,static,0.0002434096199999658,True,low,tx,transaction-atcc-strict,0.22275487837043426,tx-static-priority,tpcc
2.3500381062999685,2.55298713983003,1.4566666666666668,1.0,0.0,22.290160774750326,137,dynamic,0.043292708876667425,False,medium,op,adaptive-op-strict,2.5203183320412506,op-dynamic,tpcc
3.0058850135500452,3.484178902469932,1.5133333333333334,1.0,0.0,17.83145250187859,154,dynamic,0.04743314486666312,True,medium,op,adaptive-op-strict,2.246581198917668,op-dynamic-priority,tpcc
2.306410811100008,2.5309110775600003,1.3933333333333333,1.0,0.0,22.04631579044275,118,static,0.042188962069999246,False,medium,op,adaptive-op-strict,0.93565847499092,op-static,tpcc
2.4894793508000106,2.662531439010029,1.4066666666666667,1.0,0.0,21.174896988470607,122,static,0.05248128415000148,True,medium,op,adaptive-op-strict,0.3514727997230393,op-static-priority,tpcc
2.795622398350002,3.0377837768999085,1.7066666666666668,1.0,0.0,18.17250351710966,212,dynamic,0.029865253676666724,False,medium,tx,transaction-atcc-strict,1.0459347151232128,tx-dynamic,tpcc
2.7951591748500046,2.9320830207900643,1.7066666666666668,1.0,0.0,18.857420038049586,212,dynamic,0.039003401710002286,True,medium,tx,transaction-atcc-strict,0.5925165994804449,tx-dynamic-priority,tpcc
3.1228798480499735,3.5883305417899916,1.79,1.0,0.0,17.040169978231123,237,static,0.04117676532333348,False,medium,tx,transaction-atcc-strict,1.6377135518866903,tx-static,tpcc
3.070670227450026,3.505065494719991,1.8066666666666666,1.0,0.0,16.626437042170952,242,static,0.03602253657666798,True,medium,tx,transaction-atcc-strict,1.7362138631606383,tx-static-priority,tpcc
1.0903100330999849,1.1545693249199744,1.0,1.0,0.0,43.59859031236393,0,dynamic,0.0001491197833312678,False,high,op,adaptive-op-strict,2.0806799171322834,op-dynamic,ycsb
1.0627023732500025,1.162664124100001,1.0,1.0,0.0,43.873758628524435,0,dynamic,9.431514333338479e-05,True,high,op,adaptive-op-strict,4.176066130392851,op-dynamic-priority,ycsb
1.0969411513999832,1.1868139712499588,1.0,1.0,0.0,38.07365857407595,0,static,0.0,False,high,op,adaptive-op-strict,4.5252538471174315,op-static,ycsb
1.0765190350500122,1.301991375220035,1.0,1.0,0.0,36.78120461906212,0,static,0.0,True,high,op,adaptive-op-strict,4.110804182004786,op-static-priority,ycsb
1.218082034649995,1.3082070017400076,1.0,1.0,0.0,36.66746482163302,0,dynamic,0.00023450280333335626,False,high,tx,transaction-atcc-strict,1.6592837375389005,tx-dynamic,ycsb
1.0755800039500027,1.2099473114199946,1.0,1.0,0.0,40.07032349252733,0,dynamic,0.00025928858333320665,True,high,tx,transaction-atcc-strict,3.193164244960419,tx-dynamic-priority,ycsb
1.1469719491000006,1.2303926105699992,1.0,1.0,0.0,39.00725087140983,0,static,0.0,False,high,tx,transaction-atcc-strict,2.3471204435764075,tx-static,ycsb
1.2453902084000004,1.424244967349999,1.0,1.0,0.0,38.203424921329855,0,static,0.0,True,high,tx,transaction-atcc-strict,3.327734084842339,tx-static-priority,ycsb
2.5372093389999972,2.7428385931900303,1.0033333333333334,1.0,0.0,20.14579223231017,1,dynamic,0.0,False,low,op,adaptive-op-strict,1.0960271304583,op-dynamic,ycsb
2.49013749155001,2.6531959207299614,1.0066666666666666,1.0,0.0,20.66776365337013,2,dynamic,8.961900001243824e-07,True,low,op,adaptive-op-strict,1.1687680433591092,op-dynamic-priority,ycsb
2.260828752850023,2.3798692335600355,1.01,1.0,0.0,22.763052185897994,3,static,1.4660666636245878e-07,False,low,op,adaptive-op-strict,0.6597967317777881,op-static,ycsb
2.8224523074500123,2.9514787527799786,1.01,1.0,0.0,18.373164155894866,3,static,2.94313333597529e-07,True,low,op,adaptive-op-strict,0.9924579949870244,op-static-priority,ycsb
2.7233477013999448,2.925695964909914,1.0166666666666666,1.0,0.0,18.276753568165468,5,dynamic,5.919916666622763e-05,False,low,tx,transaction-atcc-strict,0.9405739221757524,tx-dynamic,ycsb
2.7068270706999953,2.8098164879700707,1.0066666666666666,1.0,0.0,19.07538709345538,2,dynamic,2.684533334710674e-07,True,low,tx,transaction-atcc-strict,0.7743668250517055,tx-dynamic-priority,ycsb
2.7527749771000263,2.963019324039998,1.0033333333333334,1.0,0.0,18.65754841693734,1,static,0.0,False,low,tx,transaction-atcc-strict,1.4362968571694958,tx-static,ycsb
3.2574219464500414,3.477619025019889,1.0066666666666666,1.0,0.0,15.956911252130363,2,static,3.934500004258249e-07,True,low,tx,transaction-atcc-strict,1.0567767406822461,tx-static-priority,ycsb
1.447521047399971,1.5452112192899754,1.0,1.0,0.0,32.897330789423584,0,dynamic,0.0,False,medium,op,adaptive-op-strict,3.8249764247188995,op-dynamic,ycsb
1.378264383900006,1.5735657475000782,1.0,1.0,0.0,34.99689293851468,0,dynamic,2.1302000012231776e-07,True,medium,op,adaptive-op-strict,3.605016002466716,op-dynamic-priority,ycsb
1.4293048967000117,1.5209847492000244,1.0,1.0,0.0,32.832692158517155,0,static,0.0,False,medium,op,adaptive-op-strict,1.7164151753970223,op-static,ycsb
1.471573598199979,1.6619734722100872,1.0,1.0,0.0,32.08022184904619,0,static,0.0,True,medium,op,adaptive-op-strict,1.8714523541370562,op-static-priority,ycsb
1.5805353795000259,1.6606770222099942,1.0,1.0,0.0,30.482355144086036,0,dynamic,3.657570333454411e-05,False,medium,tx,transaction-atcc-strict,1.908628142274189,tx-dynamic,ycsb
1.4592825210500282,1.6208989901700603,1.0,1.0,0.0,32.11730541072306,0,dynamic,3.9251386668487004e-05,True,medium,tx,transaction-atcc-strict,4.405549063829029,tx-dynamic-priority,ycsb
1.5201454480500218,1.6149871034599674,1.0,1.0,0.0,33.10122986704869,0,static,0.0,False,medium,tx,transaction-atcc-strict,1.6759086244182804,tx-static,ycsb
1.6104401280499305,1.8231580325599928,1.0,1.0,0.0,31.76054418054824,0,static,0.0,True,medium,tx,transaction-atcc-strict,3.4372262344126763,tx-static-priority,ycsb
