run_id,experiment_mode,measurement_note,transactions_per_worker,warmup_transactions_per_worker,measure_transactions_per_worker,warmup_seconds,measure_seconds,client_mix,cc_label,cc_family,policy,policy_mode,ycsb_zipf_theta,tpcc_warehouses,trace_csv,trace_id,source_system,system,cc,workload,workload_variant,level,clients,agent_ratio,agent_workers,background_workers,seed,repeat,status,elapsed_s,bottom_txn_attempts,bottom_txn_commits,bottom_txn_attempt_tps,bottom_txn_commit_tps,underlying_txn_attempt_tps,underlying_txn_commit_tps,native_throughput,total_tps,agent_task_tps,agent_tps,background_tps,agent_attempts,agent_logical_attempts,agent_admission_deferrals,agent_admission_deferral_rate,agent_commits,agent_aborts,agent_completed_tasks,agent_failed_tasks,agent_task_completion_rate,agent_commit_rate,agent_attempt_abort_rate,agent_avg_retry_count,agent_p50_latency_ms,agent_p95_latency_ms,agent_p99_latency_ms,agent_p999_latency_ms,agent_p9999_latency_ms,agent_time_to_success_p50_ms,agent_time_to_success_p95_ms,agent_time_to_success_p99_ms,agent_time_to_success_p999_ms,agent_time_to_success_p9999_ms,background_attempts,background_commits,background_aborts,background_commit_rate,background_retries,agent_reservation_wait_ms_total,agent_reservation_wait_ms_mean,background_reservation_wait_ms_total,background_reservation_wait_ms_mean,reservation_guard_wait_ms_total,total_reasoning_delay_ms,wasted_reasoning_ms,read_conflicts,write_conflicts,version_conflict_count,reservation_admission_abort_count,lock_timeout_abort_count,full_commit_lock_timeout_abort_count,hot_commit_lock_timeout_abort_count,begin_lock_timeout_abort_count,version_validation_abort_count,guarded_conflict_checks,conflict_pressure_count,conflict_abort_count,raw_action_counts,admission_yield_ms_total,raw_admission_yield_counts,agent_avg_tokens,agent_total_tokens,error
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,2PL-wait-die,traditional,,,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,2pl-wait-die,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,12.279607343953103,292,58,23.77926197646627,4.723278063818643,23.77926197646627,4.723278063818643,4.723278063818643,4.723278063818643,4.723278063818643,4.723278063818643,0.0,292,292,0,0.0,58,234,58,32,0.6444444444444445,0.19863013698630136,0.8013698630136986,1.2758620689655173,220.34775302745402,1971.1622046539555,2395.77056678012,2535.3056140486165,2549.2591187754633,220.34775302745402,1971.1622046539555,2395.77056678012,2535.3056140486165,2549.2591187754633,0,0,0,0.0,0,54.83441101387143,0.1877890788146282,0.0,0.0,54.83441101387143,106378,72916,0,359,359,0,0,0,0,0,234,0,359,234,"{""2pl-wait-die"": 292}",0.0,{},175848.2735632184,10199199.866666667,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,MVCC,traditional,,,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,mvcc,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,11.858281882014126,211,60,17.793471440414244,5.059754911966135,17.793471440414244,5.059754911966135,5.059754911966135,5.059754911966135,5.059754911966135,5.059754911966135,0.0,211,211,0,0.0,60,151,60,20,0.75,0.2843601895734597,0.7156398104265402,0.85,195.42952184565365,2341.303777112625,2625.0114121707156,2662.1043862053198,2665.8136836087792,195.42952184565365,2341.303777112625,2625.0114121707156,2662.1043862053198,2665.8136836087792,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,83618,68823,0,466,466,0,0,0,0,0,151,0,466,151,"{""mvcc"": 211}",0.0,{},125592.07937499999,7535524.762499999,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,Silo,traditional,,,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,silo,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,12.23114081704989,221,62,18.06863344193796,5.069028386426033,18.06863344193796,5.069028386426033,5.069028386426033,5.069028386426033,5.069028386426033,5.069028386426033,0.0,221,221,0,0.0,62,159,62,24,0.7209302325581395,0.28054298642533937,0.7194570135746606,0.6290322580645161,124.52082172967494,2031.9668608019115,2536.0692755971104,2594.49650824722,2600.3392315122296,124.52082172967494,2031.9668608019115,2536.0692755971104,2594.49650824722,2600.3392315122296,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,87294,72257,0,524,524,0,0,0,0,0,159,0,524,159,"{""silo"": 221}",0.0,{},126822.00225056265,7862964.139534885,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,TicToc,traditional,,,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,tictoc,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,11.96792724961415,218,61,18.215351368135064,5.096956116771738,18.215351368135064,5.096956116771738,5.096956116771738,5.096956116771738,5.096956116771738,5.096956116771738,0.0,218,218,0,0.0,61,157,61,24,0.7176470588235294,0.2798165137614679,0.7201834862385321,0.6065573770491803,124.57096111029387,1980.1903329789639,2716.292447224259,2872.3043610155596,2887.905552394686,124.57096111029387,1980.1903329789639,2716.292447224259,2872.3043610155596,2887.905552394686,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,85792,71110,0,503,503,0,0,0,0,0,157,0,503,157,"{""tictoc"": 218}",0.0,{},126146.95081967213,7694964.0,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,Bamboo,traditional,,,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,bamboo,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,12.989712070208043,133,40,10.238872061301192,3.0793600184364487,10.238872061301192,3.0793600184364487,3.0793600184364487,3.0793600184364487,3.0793600184364487,3.0793600184364487,0.0,133,133,0,0.0,40,93,40,12,0.7692307692307693,0.3007518796992481,0.6992481203007519,0.825,260.4124790523201,3729.0610118070604,4780.666886758991,5099.862552892888,5131.782119506271,260.4124790523201,3729.0610118070604,4780.666886758991,5099.862552892888,5131.782119506271,0,0,0,0.0,0,42168.01175661385,317.05271997454025,0.0,0.0,42168.01175661385,49123,40228,0,278,278,0,0,0,0,0,93,0,278,93,"{""bamboo"": 133}",0.0,{},105775.66730769232,4231026.692307693,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,Polaris,traditional,,,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,polaris,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,11.860826112795621,211,60,17.789654615404093,5.058669558882681,17.789654615404093,5.058669558882681,5.058669558882681,5.058669558882681,5.058669558882681,5.058669558882681,0.0,211,211,0,0.0,60,151,60,20,0.75,0.2843601895734597,0.7156398104265402,0.85,195.37361967377365,2342.6507898140694,2626.380361416377,2664.894826969598,2668.746273524919,195.37361967377365,2342.6507898140694,2626.380361416377,2664.894826969598,2668.746273524919,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,83618,68823,0,466,466,0,0,0,0,0,151,0,466,151,"{""polaris"": 211}",0.0,{},125592.07937499999,7535524.762499999,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 480 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,480,96,480,2.0,10.0,all_agent,ATCC,atcc,/home/chenht/cast-das/results/joint_policy_gate_20260713/joint_policy_gate_20260713.policy.json,eval,,1,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_high_w1_c8_a1_r2_s920106.csv,tpcc_high_w1_c8_a1_r2_s920106,cast-das-trace-fair,cast-das,dynamic-atcc,tpcc,tpcc_high_w1,high,8,1.0,8,0,920106,2,ok,10.552453144919127,895,438,84.81440170439716,41.50693625310163,84.81440170439716,41.50693625310163,41.50693625310163,41.50693625310163,41.50693625310163,41.50693625310163,0.0,895,1257,362,0.28798727128082735,438,457,438,77,0.8504854368932039,0.4893854748603352,0.5106145251396648,0.9908675799086758,30.36876767873764,493.54998918715864,587.2618746943772,853.1817667353941,891.3407049531061,30.36876767873764,493.54998918715864,587.2618746943772,853.1817667353941,891.3407049531061,0,0,0,0.0,0,7829.891405533999,8.748482017356423,0.0,0.0,7829.891405533999,206992,46638,0,800,800,362,0,0,0,0,457,7800,8600,457,"{""occ"": 815, ""reserve-hot"": 409, ""write-validate"": 33}",0.0,"{""0"": 1257}",70365.17615374386,30819947.15533981,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,5120,1024,5120,2.0,10.0,agent80_backend20,OCC,traditional,,,,100,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_low_w100_c16_a0p8_r0_s920104.csv,tpcc_low_w100_c16_a0p8_r0_s920104,cast-das-trace-fair,cast-das,occ,tpcc,tpcc_low_w100,low,16,0.8,13,3,920104,0,ok,10.36123979324475,33482,32597,3231.466568492061,3146.052079718527,3231.466568492061,3146.052079718527,3146.052079718527,3146.052079718527,25.86563049865218,25.86563049865218,3120.1864492198742,1017,1017,0,0.0,268,749,268,93,0.7423822714681441,0.2635201573254671,0.7364798426745329,1.0597014925373134,178.58145548962057,636.8695920798924,1025.9183076256886,1096.635542117525,1097.6327427901795,178.58145548962057,636.8695920798924,1025.9183076256886,1096.635542117525,1097.6327427901795,32465,32329,136,0.9958108732481133,136,0.0,0.0,944.5076282136142,0.029093104211107786,944.5076282136142,125867,98135,0,1278,1278,0,0,0,0,0,749,0,1278,749,"{""occ"": 1017}",0.0,{},80893.28458469425,21679400.26869806,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,5120,1024,5120,2.0,10.0,agent80_backend20,2PL-nowait,traditional,,,,100,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_low_w100_c16_a0p8_r0_s920104.csv,tpcc_low_w100_c16_a0p8_r0_s920104,cast-das-trace-fair,cast-das,2pl-nowait,tpcc,tpcc_low_w100,low,16,0.8,13,3,920104,0,ok,10.358723476994783,21254,20432,2051.7972168290853,1972.4438098358835,2051.7972168290853,1972.4438098358835,1972.4438098358835,1972.4438098358835,48.1719587464813,48.1719587464813,1924.2718510894024,1013,1013,0,0.0,499,514,499,33,0.9379699248120301,0.49259624876604147,0.5074037512339585,0.6993987975951904,148.52212788537145,598.3004332054404,890.5005455762142,1049.662861055695,1052.7010989389378,148.52212788537145,598.3004332054404,890.5005455762142,1049.662861055695,1052.7010989389378,20241,19933,308,0.9847833605059039,308,126.44807761535048,0.12482534809017817,1465.7598896883428,0.07241538904640793,1592.2079673036933,124595,69536,0,797,797,0,0,0,0,0,514,0,797,514,"{""2pl-nowait"": 1013}",0.0,{},42546.83568264348,21230871.0056391,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,5120,1024,5120,2.0,10.0,agent80_backend20,2PL-wait-die,traditional,,,,100,/home/chenht/cast-das/results/paper_main_joint_policy_20260713/traces/tpcc_low_w100_c16_a0p8_r0_s920104.csv,tpcc_low_w100_c16_a0p8_r0_s920104,cast-das-trace-fair,cast-das,2pl-wait-die,tpcc,tpcc_low_w100,low,16,0.8,13,3,920104,0,ok,10.35154726728797,24110,23175,2329.1204085200147,2238.795747302005,2329.1204085200147,2238.795747302005,2238.795747302005,2238.795747302005,43.278554252051705,43.278554252051705,2195.5171930499537,1024,1024,0,0.0,448,576,448,38,0.9218106995884774,0.4375,0.5625,0.8616071428571429,160.7872936874628,669.2067845957354,967.9752741800614,1061.0856704269556,1075.8301147897248,160.7872936874628,669.2067845957354,967.9752741800614,1061.0856704269556,1075.8301147897248,23086,22727,359,0.9844494498830461,359,116.66547227650881,0.11393112527002813,1462.7689383924007,0.06336173171586246,1579.4344106689095,124974,75880,0,895,895,0,0,0,0,0,576,0,895,576,"{""2pl-wait-die"": 1024}",0.0,{},47481.269841269845,21271608.88888889,
