run_id,experiment_mode,measurement_note,workload,workload_variant,level,ycsb_zipf_theta,tpcc_warehouses,client_mix,clients,agent_ratio,cc_label,cc_family,source_system,system,cc,n_repeats,n_ok,n_error,total_tps_mean,total_tps_std,bottom_txn_attempt_tps_mean,bottom_txn_commit_tps_mean,underlying_txn_attempt_tps_mean,underlying_txn_commit_tps_mean,native_throughput_mean,agent_task_tps_mean,agent_tps_mean,background_tps_mean,agent_task_completion_rate_mean,agent_commit_rate_mean,agent_attempt_abort_rate_mean,agent_logical_attempts_mean,agent_admission_deferrals_mean,agent_admission_deferral_rate_mean,agent_avg_retry_count_mean,agent_p50_latency_ms_mean,agent_p95_latency_ms_mean,agent_p99_latency_ms_mean,agent_p999_latency_ms_mean,agent_p9999_latency_ms_mean,agent_time_to_success_p50_ms_mean,agent_time_to_success_p95_ms_mean,agent_time_to_success_p99_ms_mean,agent_time_to_success_p999_ms_mean,agent_time_to_success_p9999_ms_mean,background_commit_rate_mean,wasted_reasoning_ms_mean,read_conflicts_mean,write_conflicts_mean,conflict_abort_count_mean,reservation_admission_abort_count_mean,lock_timeout_abort_count_mean,full_commit_lock_timeout_abort_count_mean,hot_commit_lock_timeout_abort_count_mean,begin_lock_timeout_abort_count_mean,version_validation_abort_count_mean,agent_avg_tokens_mean,agent_total_tokens_mean,version_conflict_count_mean,guarded_conflict_checks_mean,conflict_pressure_count_mean,agent_reservation_wait_ms_total_mean,agent_reservation_wait_ms_mean_mean,background_reservation_wait_ms_total_mean,background_reservation_wait_ms_mean_mean,reservation_guard_wait_ms_total_mean,admission_yield_ms_total_mean,elapsed_s_mean,atcc_total_tps_speedup,atcc_agent_tps_speedup,atcc_abort_rate_delta,status,errors
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,2PL-nowait,traditional,cast-das-trace-fair,cast-das,2pl-nowait,3,3,0,618.8639104,7.055473581,703.0274105,618.8639104,703.0274105,618.8639104,618.8639104,174.8356858,174.8356858,444.0282246,0.9965524193,0.7351892612,0.2648107388,2489.666667,0,0,0.3429162572,132.2675295,418.978827,692.721375,969.8763473,1094.280171,132.2675295,418.978827,692.721375,969.8763473,1094.280171,0.9544457782,69400,0,881.3333333,659.3333333,0,0,0,0,0,659.3333333,29219.69322,53480181.74,881.3333333,0,881.3333333,350.9073177,0.1409430657,884.7046856,0.1816494672,1235.612003,0,10.47013451,0.7996872608,1.155714009,-0.263520776,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,2PL-wait-die,traditional,cast-das-trace-fair,cast-das,2pl-wait-die,3,3,0,531.5911026,72.62403372,601.238047,531.5911026,601.238047,531.5911026,531.5911026,150.6767881,150.6767881,380.9143145,0.9944785722,0.7378708611,0.2621291389,2116.666667,0,0,0.3275906724,130.8397243,440.6840626,1907.697168,2244.603035,2337.044871,130.8397243,440.6840626,1907.697168,2244.603035,2337.044871,0.9590059378,59523,0,729.6666667,553.3333333,0,0,0,0,0,553.3333333,29009.37761,45393380.49,729.6666667,0,729.6666667,296.1283393,0.1396145495,749.3744316,0.1814984607,1045.502771,0,10.37760444,0.9309741696,1.341016449,-0.2608391761,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,ATCC,atcc,cast-das-trace-fair,cast-das,dynamic-atcc,3,3,0,494.8975853,5.063472081,499.4981788,494.8975853,499.4981788,494.8975853,494.8975853,202.0600513,202.0600513,292.837534,1,0.9987100372,0.001289962768,2066,0,0,0.001292307495,144.7791214,251.197766,299.1550387,399.7496507,469.558171,144.7791214,251.197766,299.1550387,399.7496507,469.558171,0.9853954593,421.6666667,0,5,2.666666667,0,0,0,0,0,2.666666667,21617.03007,44602549.47,5,707,712,2428.160906,1.175260871,1410.644547,0.4643699224,3838.805453,6765.666667,10.21182923,1,1,0,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,Bamboo,traditional,cast-das-trace-fair,cast-das,bamboo,3,3,0,615.1090206,2.768958023,692.3631821,615.1090206,692.3631821,615.1090206,615.1090206,179.9359138,179.9359138,435.1731069,0.9975078644,0.7656812571,0.2343187429,2439.666667,0,0,0.2935357211,131.5055594,402.2832525,665.0811451,962.1584075,1123.905072,131.5055594,402.2832525,665.0811451,962.1584075,1123.905072,0.9514899672,64463.66667,0,800.6666667,571.6666667,0,0,0,0,0,571.6666667,28094.61483,52478716.95,800.6666667,0,800.6666667,2944.201742,1.207058632,939.0856925,0.1977812216,3883.287434,0,10.38222845,0.8045688955,1.122955651,-0.2330287801,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,MVCC,traditional,cast-das-trace-fair,cast-das,mvcc,3,3,0,741.9952306,15.45347517,824.8668477,741.9952306,824.8668477,741.9952306,741.9952306,179.1924739,179.1924739,562.8027568,0.9933520172,0.7159281764,0.2840718236,2574.333333,0,0,0.3633537391,124.5404172,410.727396,669.5936612,1052.643202,1134.633622,124.5404172,410.727396,669.5936612,1052.643202,1134.633622,0.9795147679,82578.33333,0,1029.333333,731.3333333,0,0,0,0,0,731.3333333,29985.85276,55266508.85,1029.333333,0,1029.333333,0,0,669.2313853,0.1132910652,669.2313853,0,10.28504515,0.666982165,1.127614608,-0.2827818608,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,OCC,traditional,cast-das-trace-fair,cast-das,occ,3,3,0,755.9311128,16.89064353,842.3988381,755.9311128,842.3988381,755.9311128,755.9311128,176.1265042,176.1265042,579.8046087,0.9914551921,0.7024977709,0.2975022291,2599.333333,0,0,0.3809798386,123.5845007,409.9862565,699.962456,1064.942625,1148.708626,123.5845007,409.9862565,699.962456,1064.942625,1148.708626,0.979904989,87855.33333,0,1085.333333,773.3333333,0,0,0,0,0,773.3333333,30480.95578,55648920.24,1085.333333,0,1085.333333,0,0,669.6306627,0.1091758613,669.6306627,0,10.36897051,0.654686091,1.147243864,-0.2962122663,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,Polaris,traditional,cast-das-trace-fair,cast-das,polaris,3,3,0,637.6507153,15.75005375,713.4103018,637.6507153,713.4103018,637.6507153,637.6507153,177.041623,177.041623,460.6090923,0.9952719589,0.7313351353,0.2686648647,2500.333333,0,0,0.3437472753,129.2722566,415.1671279,674.7777566,1006.053458,1168.428454,129.2722566,415.1671279,674.7777566,1006.053458,1168.428454,0.9772788351,75430.33333,0,955.6666667,671.6666667,0,0,0,0,0,671.6666667,29399.93241,53741663.25,955.6666667,0,955.6666667,0,0,11760.74595,2.555183908,11760.74595,0,10.33001258,0.7761264489,1.141313821,-0.2673749019,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,Silo,traditional,cast-das-trace-fair,cast-das,silo,3,3,0,648.4964035,6.85550665,723.31884,648.4964035,723.31884,648.4964035,648.4964035,176.8985793,176.8985793,471.5978242,0.995469321,0.7367341578,0.2632658422,2488,0,0,0.3345960779,129.5823744,401.9092435,648.9100975,995.14942,1150.692104,129.5823744,401.9092435,648.9100975,995.14942,1150.692104,0.9759967687,73950.33333,0,926,655,0,0,0,0,0,655,29009.0253,53168332.65,926,0,926,0,0,1003.578486,0.2004545546,1003.578486,0,10.36191571,0.7631462297,1.14223671,-0.2619758794,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,40,0.8,TicToc,traditional,cast-das-trace-fair,cast-das,tictoc,3,3,0,648.5353631,16.27736455,726.3165059,648.5353631,726.3165059,648.5353631,648.5353631,174.7428223,174.7428223,473.7925408,0.9952461638,0.7244263316,0.2755736684,2504.666667,0,0,0.3566538662,128.3567599,412.1509325,676.1937525,1024.466098,1149.874892,128.3567599,412.1509325,676.1937525,1024.466098,1149.874892,0.9767259833,77643,0,972.3333333,690.3333333,0,0,0,0,0,690.3333333,29598.23801,53696456.55,972.3333333,0,972.3333333,0,0,1011.848709,0.2010558146,1011.848709,0,10.38314529,0.763100385,1.156328189,-0.2742837056,ok,
paper_main_joint_policy_20260713,fixed_trace_agent_fair,steady-state fixed trace source replay with CAST-DAS paper agent runtime; warmup=2s measure=10s; measure trace has 5120 transactions per worker and cycles if exhausted; ATCC preplan/reservation/deferred paths enabled; no outcome oracle,tpcc,tpcc_low_w100,low,,100,agent80_backend20,8,0.8,2PL-nowait,traditional,cast-das-trace-fair,cast-das,2pl-nowait,3,3,0,3315.475472,23.9363998,3372.976326,3315.475472,3372.976326,3315.475472,3315.475472,19.97502193,19.97502193,3295.50045,0.8816360207,0.3743415297,0.6256584703,546,0,0,1.007547993,154.8791338,572.9815599,897.5227322,1011.709148,1034.687054,154.8791338,572.9815599,897.5227322,1011.709148,1034.687054,0.9927405146,38073.66667,0,562.3333333,341.6666667,0,0,0,0,0,341.6666667,58835.89336,11992505.97,562.3333333,0,562.3333333,67.18258886,0.1230516511,1614.968017,0.04756235506,1682.150606,0,10.22970262,1.096850719,2.642383588,-0.6256584703,ok,
