experiment_mix,agent_ratio,workload,level,clients,agent_workers,background_workers,cc,runs,agent_tps_mean,agent_tps_speedup_vs_occ,agent_commit_rate_mean,agent_commit_rate_ratio_vs_occ,agent_task_completion_rate_mean,agent_p95_latency_ms_mean,agent_p99_latency_ms_mean,agent_p9999_latency_ms_mean,agent_avg_retry_count_mean,agent_avg_tokens_mean,agent_total_tokens_mean,wasted_reasoning_ms_mean,background_tps_mean,background_tps_ratio_vs_occ,total_tps_mean,total_tps_speedup_vs_occ,reservation_waiter_count_mean,reservation_unique_target_count_mean,reservation_front_queue_wait_ms_mean,reserve_read_write_set_attempts_mean,reserve_hot_rw_k_attempts_mean,duration_s,reasoning_profile,reasoning_scale,workload_profile,background_mode,retry_until_commit,max_attempts_per_task,policy,policy_mode,tokens_per_operation,seeds,client_counts,agent_abort_rate_mean,agent_aborts_mean,agent_attempt_abort_rate_mean,agent_commit_rate_delta_vs_occ,agent_commit_rate_std,agent_p50_latency_ms_mean,agent_task_guard_wait_ms_max_mean,agent_task_guard_wait_ms_mean_mean,agent_task_guard_wait_ms_p50_mean,agent_task_guard_wait_ms_p95_mean,agent_task_guard_wait_ms_p99_mean,agent_task_tps_mean,agent_tps_std,atcc_agent_guardrail,atcc_agent_guardrail_queue_threshold,atcc_bp_background_threshold,atcc_bp_min_windows,atcc_bp_queue_pressure_threshold,atcc_full_reservation_fallback_ratio,atcc_hot_rw_k,atcc_pure_policy,background_aborts_mean,background_admission_cap,background_tps_std,background_writer_reservation_blocked_checks_mean,background_writer_waiter_blocked_checks_mean,background_writer_waiter_blocked_targets_mean,reservation_all_or_nothing_failed_grant_checks_mean,reservation_all_or_nothing_not_front_wait_ms_mean,reservation_blocked_target_checks_mean,reservation_owner_blocked_checks_mean,reservation_waiter_target_set_size_max_mean,reservation_waiter_target_set_size_mean_mean,reservation_waiter_target_set_size_p50_mean,reservation_waiter_target_set_size_p95_mean,reservation_waiter_target_set_size_p99_mean,reservation_writer_blocked_checks_mean,reserve_hot_rw_k_target_size_max_mean,reserve_hot_rw_k_target_size_mean_mean,reserve_hot_rw_k_target_size_p50_mean,reserve_hot_rw_k_target_size_p95_mean,reserve_hot_rw_k_target_size_p99_mean,reserve_hot_rw_k_unique_target_count_mean,reserve_read_write_set_hot_coverage_ratio_mean_mean,reserve_read_write_set_hot_target_count_max_mean,reserve_read_write_set_hot_target_count_mean_mean,reserve_read_write_set_hot_target_count_p50_mean,reserve_read_write_set_hot_target_count_p95_mean,reserve_read_write_set_hot_target_count_p99_mean,reserve_read_write_set_target_size_max_mean,reserve_read_write_set_target_size_mean_mean,reserve_read_write_set_target_size_p50_mean,reserve_read_write_set_target_size_p95_mean,reserve_read_write_set_target_size_p99_mean,reserve_read_write_set_unique_hot_target_count_mean,reserve_read_write_set_unique_target_count_mean,total_tps_std
all_agent,1.0,tpcc,medium,40,40,0,occ,1,187.86793756458377,1.0,0.17002881844380405,1.0,0.41843971631205673,116.79153069997028,119.37783706000005,119.88760780060232,0.711864406779661,186370.53407861522,10995861.510638298,8857.0,0.0,,187.86793756458377,1.0,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",4.88135593220339,288.0,0.829971181556196,0.0,0.0,16.14906700001484,0.0,0.0,0.0,0.0,0.0,187.86793756458377,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,40,40,0,2pl-nowait,1,149.3625574121714,0.7950401720933606,0.059154929577464786,0.34791119598949627,0.16535433070866143,66.22537095000496,75.63460984999321,79.22407081847545,0.7619047619047619,531052.8458942632,22304219.527559057,4857.0,0.0,,149.3625574121714,0.7950401720933606,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",15.904761904761905,668.0,0.9408450704225352,-0.11087388886633925,0.0,21.59033699996371,0.23212199999989025,0.07085120079267203,0.06946900001025824,0.09969654994677055,0.1813363200153617,149.3625574121714,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,40,40,0,2pl-wait-die,1,138.37355077686357,0.73654691998359,0.05182072829131653,0.3047761477472345,0.14566929133858267,56.19983379999665,62.15822403999937,63.51290436040195,0.7027027027027027,603132.544583954,22315904.1496063,4728.0,0.0,,138.37355077686357,0.73654691998359,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",18.2972972972973,677.0,0.9481792717086834,-0.11820809015248751,0.0,33.415902999990976,0.3784910001058961,0.0729736535398266,0.07201349998808837,0.09889650000047821,0.11934358000871725,138.37355077686357,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,40,40,0,mvcc,1,199.5823024894513,1.0623542530818515,0.181058495821727,1.0648694584769367,0.4513888888888889,118.67712979999396,121.269926880002,122.76659018879097,0.8769230769230769,173859.21250000002,11300848.812500002,8805.0,0.0,,199.5823024894513,1.0623542530818515,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",4.523076923076923,294.0,0.8189415041782729,0.011029677377922958,0.0,24.25722999998925,0.0,0.0,0.0,0.0,0.0,199.5823024894513,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,40,40,0,silo,1,195.3223708766398,1.0396791140025872,0.17548746518105848,1.032104244369954,0.4375,120.13393529999803,123.8115428799972,124.63982055879119,0.8412698412698413,179378.5525793651,11300848.8125,9017.0,0.0,,195.3223708766398,1.0396791140025872,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",4.698412698412699,296.0,0.8245125348189415,0.005458646737254436,0.0,21.160375000022213,0.0,0.0,0.0,0.0,0.0,195.3223708766398,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,40,40,0,tictoc,1,196.441165824049,1.0456343342595007,0.17403314917127072,1.0235508942784903,0.4375,118.87389250002798,124.79931521997287,125.54245454218999,0.8888888888888888,180877.53769841272,11395284.875000002,9015.0,0.0,,196.441165824049,1.0456343342595007,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",4.746031746031746,299.0,0.8259668508287292,0.004004330727466671,0.0,23.27076900002112,0.0,0.0,0.0,0.0,0.0,196.441165824049,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,40,40,0,dynamic-atcc,1,625.5040085425084,3.329487812828506,0.552901023890785,3.2518077167813964,0.8617021276595744,67.6935826499772,108.69506930997227,128.33580673763723,0.3271604938271605,56402.75975177305,9137247.079787234,1159.0,0.0,,625.5040085425084,3.329487812828506,212.0,704.0,562.5278850002928,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",0.808641975308642,131.0,0.447098976109215,0.382872205446981,0.0,45.26353099998914,111.20201199997837,8.347336765956832,4.130019000001539,36.23850334998056,70.59951012002767,625.5040085425084,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,92.0,996.7057799998997,824.0,824.0,18.0,9.580188679245284,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,48,48,0,occ,1,211.69987211814325,1.0,0.1642156862745098,1.0,0.4110429447852761,114.58174889999667,120.92932434000092,124.54282301337786,0.7910447761194029,188735.2857796905,12645264.147239262,10411.0,0.0,,211.69987211814325,1.0,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",5.08955223880597,341.0,0.8357843137254902,0.0,0.0,18.0887719999987,0.0,0.0,0.0,0.0,0.0,211.69987211814325,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,48,48,0,2pl-nowait,1,138.04888404434138,0.6520971536879366,0.051181102362204724,0.3116699964743213,0.1449814126394052,77.80933069995514,93.96431657998846,95.6111354657648,0.8461538461538461,617846.9013440092,24096029.15241636,5214.0,0.0,,138.04888404434138,0.6520971536879366,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",18.53846153846154,723.0,0.9488188976377953,-0.11303458391230509,0.0,30.260287999965385,0.1800939999725415,0.07326489219204534,0.07119499997543244,0.10667359999843029,0.14476683997827408,138.04888404434138,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,48,48,0,2pl-wait-die,1,147.47328072480627,0.6966148786453018,0.05172413793103448,0.3149768399382398,0.14772727272727273,68.3673061000036,85.04606048002299,89.85675710483753,1.0256410256410255,605123.8863636364,23599831.568181816,5105.0,0.0,,147.47328072480627,0.6966148786453018,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",18.333333333333332,715.0,0.9482758620689655,-0.11249154834347533,0.0,30.459188000008908,0.18426899987389334,0.07519721969588766,0.07403700001873403,0.10429500002828716,0.143396260027089,147.47328072480627,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_agent,1.0,tpcc,medium,48,48,0,mvcc,1,211.0530571351848,0.9969446604927683,0.16262135922330098,0.9902912621359224,0.4161490683229814,119.28929469996206,120.57938095998679,120.63168170959648,0.9402985074626866,190785.1421155094,12782604.521739129,10343.0,0.0,,211.0530571351848,0.9969446604927683,0.0,0.0,0.0,0.0,0.0,0.2,agentic,0.25,paper,procedure,True,3,results/atcc_policy_bounded_20260709.json,eval,2703,920104,"8,16,24,32,40,48",5.149253731343284,345.0,0.837378640776699,-0.0015943270512088215,0.0,20.26720200001364,0.0,0.0,0.0,0.0,0.0,211.0530571351848,0.0,False,1,6,3,2,0.0,3,False,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
