profile,strategy,policy_variant,throughput,commit_rate,committed_tasks,failed_tasks,attempts_per_task,wasted_tokens_per_task,p50_latency_s,p95_latency_s,p99_latency_s,conflict_aborts,lease_refresh_regenerations,lease_refresh_replayed_operations,lease_refresh_replayed_operations_per_task,lease_refresh_rebased_writes,lease_refresh_rebased_writes_per_task,background_commits,background_aborts,operation_policy_counts,operation_rule_counts,selected_strategy_counts
tpcc-medium,transaction-atcc-strict,default,23.24243368980459,1.0,60,0,1.1,225430.2,0.19369388949998267,2.047293992499996,2.2027909674900115,6,61,4680,78.0,0,0.0,271,26,"{""optimistic"": 3001, ""pessimistic"": 107}","{""prelock-budget-fallback-optimistic"": 1, ""transaction-atcc-lock-hot-writes"": 2869, ""transaction-atcc-lock-write-set"": 48, ""transaction-atcc-occ"": 190}","{""transaction-atcc-strict"": 60}"
ycsb-high,2pl-nowait,ycsb-strict-tuned,0.9956101374874552,0.13333333333333333,8,52,7.466666666666667,594660.0,0.559267316500005,7.401511228550007,7.676959894819998,440,0,0,0.0,0,0.0,3950,0,{},{},"{""2pl-nowait"": 60}"
ycsb-high,2pl-wait-die,ycsb-strict-tuned,0.5634175964407806,0.08333333333333333,5,55,7.783333333333333,624393.0,0.611735601999996,8.075691807850008,8.69911847346999,462,0,0,0.0,0,0.0,4178,0,{},{},"{""2pl-wait-die"": 60}"
ycsb-high,adaptive-op-strict,ycsb-strict-tuned,51.50589347387173,1.0,60,0,1.0,0.0,0.08521187900001337,0.8940876516499884,0.9490682897299961,0,60,0,0.0,283,4.716666666666667,511,0,"{""optimistic"": 501, ""pessimistic"": 99}","{""phase-atcc-commit-lock-hot-writes"": 133, ""phase-atcc-commit-occ"": 467}","{""adaptive-op-strict"": 60}"
ycsb-high,mvcc-full,ycsb-strict-tuned,22.910573047225306,0.9833333333333333,59,1,2.3333333333333335,109471.5,0.19332714649999616,2.284419557699985,2.3733482699799935,81,0,0,0.0,0,0.0,1254,0,{},{},"{""mvcc-full"": 60}"
ycsb-high,occ,ycsb-strict-tuned,1.1040568799836834,0.13333333333333333,8,52,7.333333333333333,583848.0,0.5595450159999942,6.667312036149989,6.945834774509996,432,0,0,0.0,0,0.0,4043,0,{},{},"{""occ"": 60}"
ycsb-high,silo-full,ycsb-strict-tuned,1.0642050434175154,0.15,9,51,7.316666666666666,581145.0,0.6431741674999927,7.7170180506500055,8.175817024389996,430,0,0,0.0,0,0.0,3930,2,{},{},"{""silo-full"": 60}"
ycsb-high,tictoc-full,ycsb-strict-tuned,27.638902844257874,0.9833333333333333,59,1,1.95,78387.0,0.15544378650000112,1.7870326374500052,1.9314550084399997,58,0,0,0.0,0,0.0,1002,1,{},{},"{""tictoc-full"": 60}"
ycsb-high,transaction-atcc-strict,ycsb-strict-tuned,50.49987103763761,1.0,60,0,1.0,0.0,0.09498783849998915,0.9210027150999949,0.9481216794699997,0,60,0,0.0,283,4.716666666666667,563,1,"{""optimistic"": 389, ""pessimistic"": 211}","{""transaction-atcc-lock-hot-writes"": 600}","{""transaction-atcc-strict"": 60}"
ycsb-low,2pl-nowait,ycsb-strict-tuned,26.153503634150496,1.0,60,0,1.0666666666666667,5406.0,0.16293637900000046,1.9091803370000004,1.9957299057399998,4,0,0,0.0,0,0.0,125,4,{},{},"{""2pl-nowait"": 60}"
ycsb-low,2pl-wait-die,ycsb-strict-tuned,24.25450160245066,1.0,60,0,1.0666666666666667,5406.0,0.17779193849999952,2.0352768090500004,2.1602472093999996,4,0,0,0.0,0,0.0,148,2,{},{},"{""2pl-wait-die"": 60}"
ycsb-low,adaptive-op-strict,ycsb-strict-tuned,26.14694848961025,1.0,60,0,1.0333333333333334,4054.5,0.15175267200000064,1.9275311113000013,2.02576969144,2,1,30,0.5,0,0.0,115,1,"{""optimistic"": 1820, ""pessimistic"": 28}","{""phase-atcc-commit-lock-hot-read-write"": 27, ""phase-atcc-commit-lock-write-set"": 3, ""phase-atcc-commit-occ"": 1818}","{""adaptive-op-strict"": 60}"
ycsb-low,mvcc-full,ycsb-strict-tuned,28.26371346108989,1.0,60,0,1.0,0.0,0.14683005450000053,1.8242983878999997,1.8853271832599998,0,0,0,0.0,0,0.0,112,5,{},{},"{""mvcc-full"": 60}"
ycsb-low,occ,ycsb-strict-tuned,29.913154618896108,1.0,60,0,1.0,0.0,0.1386377780000001,1.6169505120000003,1.7059627659399996,0,0,0,0.0,0,0.0,105,3,{},{},"{""occ"": 60}"
ycsb-low,silo-full,ycsb-strict-tuned,22.983404162292267,1.0,60,0,1.1166666666666667,9460.5,0.1632416350000021,2.0015144110500005,2.14613177182,7,0,0,0.0,0,0.0,150,4,{},{},"{""silo-full"": 60}"
ycsb-low,tictoc-full,ycsb-strict-tuned,27.187556862775157,1.0,60,0,1.0,0.0,0.16824669050000018,1.9761925143999997,1.9907850113899992,0,0,0,0.0,0,0.0,108,3,{},{},"{""tictoc-full"": 60}"
ycsb-low,transaction-atcc-strict,ycsb-strict-tuned,24.012330139427963,1.0,60,0,1.05,6757.5,0.15850837350000013,2.0584812742999983,2.157971321849998,3,2,60,1.0,0,0.0,130,3,"{""optimistic"": 1875, ""pessimistic"": 3}","{""transaction-atcc-lock-write-set"": 57, ""transaction-atcc-occ"": 1018, ""transaction-atcc-occ-fast-path"": 803}","{""transaction-atcc-strict"": 60}"
ycsb-medium,2pl-nowait,ycsb-strict-tuned,5.779335713734226,0.65,39,21,5.35,381123.0,0.6030723635000008,6.026814465450004,6.392587727329993,282,0,0,0.0,0,0.0,1763,0,{},{},"{""2pl-nowait"": 60}"
ycsb-medium,2pl-wait-die,ycsb-strict-tuned,5.6165379410016945,0.7333333333333333,44,16,4.916666666666667,339226.5,0.6270171280000056,6.8931390895499955,7.181820271979995,251,0,0,0.0,0,0.0,1858,0,{},{},"{""2pl-wait-die"": 60}"
ycsb-medium,adaptive-op-strict,ycsb-strict-tuned,35.26082717416539,1.0,60,0,1.0,0.0,0.10736791100000431,1.1067794109500049,1.162336907970007,0,60,0,0.0,61,1.0166666666666666,387,0,"{""optimistic"": 678}","{""phase-atcc-commit-occ"": 678}","{""adaptive-op-strict"": 60}"
ycsb-medium,mvcc-full,ycsb-strict-tuned,35.627157909120726,1.0,60,0,1.0,0.0,0.11327378549999878,1.1943907579499964,1.2126920610500007,0,0,0,0.0,0,0.0,405,0,{},{},"{""mvcc-full"": 60}"
ycsb-medium,occ,ycsb-strict-tuned,9.495050428563195,0.8333333333333334,50,10,4.1,264894.0,0.5730945104999989,4.6470518190500005,5.043633508520002,196,0,0,0.0,0,0.0,1414,0,{},{},"{""occ"": 60}"
ycsb-medium,silo-full,ycsb-strict-tuned,8.669474859844662,0.8666666666666667,52,8,3.95,250027.5,0.4932749560000005,5.032156394899997,5.385319276839999,185,0,0,0.0,0,0.0,1376,1,{},{},"{""silo-full"": 60}"
ycsb-medium,tictoc-full,ycsb-strict-tuned,36.37307250859381,1.0,60,0,1.0,0.0,0.14176953449999985,1.3685948546499986,1.4459322220499948,0,0,0,0.0,0,0.0,343,0,{},{},"{""tictoc-full"": 60}"
ycsb-medium,transaction-atcc-strict,ycsb-strict-tuned,36.3987886813144,1.0,60,0,1.0,0.0,0.12263799750000004,1.206268055450009,1.2467378314799933,0,60,0,0.0,61,1.0166666666666666,400,1,"{""optimistic"": 632, ""pessimistic"": 46}","{""transaction-atcc-lock-hot-read-write"": 40, ""transaction-atcc-lock-hot-writes"": 220, ""transaction-atcc-occ"": 418}","{""transaction-atcc-strict"": 60}"
