profile,tx_throughput,tx_commit_rate,tx_attempts_per_task,tx_p99_latency_s,vs_occ,vs_2pl-nowait,vs_2pl-wait-die,vs_mvcc-full,vs_silo-full,vs_tictoc-full,vs_adaptive-op-strict
tpcc-high,40.60863787879382,1.0,1.0166666666666666,1.245539628290008,0,0,0,0,0,0,2.7576070249347744
tpcc-low,4.13436970438662,1.0,1.0166666666666666,13.708964903030004,0.5796397186539254,0.6814609320470525,0.7234983923824504,0.718380275246716,0.7840572274427086,0.7509168106077103,1.064204314100071
tpcc-medium,23.24243368980459,1.0,1.1,2.2027909674900115,3.978735360286856,4.8701431529470085,3.951112446846169,4.38281681682078,3.6039503085341016,2.9717847548313356,0.8935631226910238
ycsb-high,50.49987103763761,1.0,1.0,0.9481216794699997,45.740280191346606,50.722535996951834,89.63133447846712,2.204216844927571,47.45314011618078,1.827130089866401,0.9804678189546511
ycsb-low,24.012330139427963,1.0,1.05,2.157971321849998,0.8027347982970475,0.9181305294818454,0.99001540138849,0.8495815729410531,1.0447682149202164,0.8832102958212228,0.9183607084769185
ycsb-medium,36.3987886813144,1.0,1.0,1.2467378314799933,3.833448695735081,6.298092113738086,6.480645027891109,1.0216584992314566,4.198499824932486,1.0007070112846397,1.0322726832677016
